Clubs, 1, Manchester City, England, 1880
Clubs, 2, Manchester United, England, 1878
Clubs, 3, Chelsea, England, 1905
Clubs, 4, Liverpool, England, 1892
Clubs, 5, Tottenham Hotspur, England, 1882
Clubs, 6, Arsenal, England, 1886
Clubs, 7, Everton, England, 1878
Clubs, 8, Aston Villa, England, 1874
Clubs, 9, Leeds United, England, 1919
Clubs, 10, Leicester City, England, 1884
Clubs, 11, Newcastle United, England, 1892
Clubs, 12, West Ham United, England, 1895
Clubs, 13, Wolverhampton Wanderers, England, 1877
Clubs, 14, Crystal Palace, England, 1905
Clubs, 15, Southampton, England, 1885
Clubs, 16, Brighton & Hove Albion, England, 1901
Clubs, 17, Burnley, England, 1882
Clubs, 18, Fulham, England, 1879
Clubs, 19, Sheffield United, England, 1889
Clubs, 20, West Bromwich Albion, England, 1878
Clubs, 21, Norwich City, England, 1902
Clubs, 22, Brentford, England, 1889
Clubs, 23, Watford, England, 1881
Clubs, 24, Bournemouth, England, 1899
Clubs, 25, Stoke City, England, 1863
Clubs, 26, Nottingham Forest, England, 1865
Clubs, 27, Derby County, England, 1884
Clubs, 28, Blackburn Rovers, England, 1875
Clubs, 29, Middlesbrough, England, 1876
Clubs, 30, Sunderland, England, 1879
Players, 1, Harry Kane, England, 1993-07-28, Forward, 5
Players, 2, Kevin De Bruyne, Belgium, 1991-06-28, Midfielder, 1
Players, 3, Virgil van Dijk, Netherlands, 1991-07-08, Defender, 4
Players, 4, Bruno Fernandes, Portugal, 1994-09-08, Midfielder, 2
Players, 5, Mohamed Salah, Egypt, 1992-06-15, Forward, 4
Players, 6, Raheem Sterling, England, 1994-12-08, Forward, 1
Players, 7, Marcus Rashford, England, 1997-10-31, Forward, 2
Players, 8, Mason Mount, England, 1999-01-10, Midfielder, 3
Players, 9, Trent Alexander-Arnold, England, 1998-10-07, Defender, 4
Players, 10, Jack Grealish, England, 1995-09-10, Midfielder, 5
Players, 11, Riyad Mahrez, Algeria, 1991-02-21, Forward, 1
Players, 12, Thiago Alcantara, Spain, 1991-04-11, Midfielder, 3
Players, 13, Alisson Becker, Brazil, 1992-10-02, Goalkeeper, 4
Players, 14, Son Heung-min, South Korea, 1992-07-08, Forward, 5
Players, 15, Ruben Dias, Portugal, 1997-05-14, Defender, 1
Players, 16, N'Golo Kante, France, 1991-03-29, Midfielder, 3
Players, 17, Bruno Fernandes, Portugal, 1994-09-08, Midfielder, 2
Players, 18, Raphaël Varane, France, 1993-04-25, Defender, 4
Players, 19, Fabinho, Brazil, 1993-10-23, Midfielder, 1
Players, 20, Thiago Silva, Brazil, 1984-09-22, Defender, 3
Players, 21, Ederson, Brazil, 1993-08-17, Goalkeeper, 5
Players, 22, Rodri, Spain, 1996-06-22, Midfielder, 2
Players, 23, Phil Foden, England, 2000-05-28, Midfielder, 1
Players, 24, Edouard Mendy, Senegal, 1992-03-01, Goalkeeper, 3
Players, 25, Mason Greenwood, England, 2001-10-01, Forward, 2
Players, 26, James Milner, England, 1986-01-04, Midfielder, 4
Players, 27, Sergio Agüero, Argentina, 1988-06-02, Forward, 5
Players, 28, Andreas Christensen, Denmark, 1996-04-10, Defender, 1
Players, 29, Diogo Jota, Portugal, 1996-12-04, Forward, 2
Players, 30, Christian Pulisic, United States, 1998-09-18, Forward, 3
Players, 31, Roberto Firmino, Brazil, 1991-10-02, Forward, 4
Players, 32, Hugo Lloris, France, 1986-12-26, Goalkeeper, 5
Players, 33, Hakim Ziyech, Morocco, 1993-03-19, Midfielder, 1
Players, 34, Luke Shaw, England, 1995-07-12, Defender, 2
Players, 35, Ben Chilwell, England, 1996-12-21, Defender, 3
Players, 36, Sadio Mané, Senegal, 1992-04-10, Forward, 4
Players, 37, Raheem Sterling, England, 1994-12-08, Forward, 1
Players, 38, Bruno Fernandes, Portugal, 1994-09-08, Midfielder, 2
Players, 39, Mohamed Salah, Egypt, 1992-06-15, Forward, 4
Players, 40, Mason Mount, England, 1999-01-10, Midfielder, 3
Players, 41, Kevin De Bruyne, Belgium, 1991-06-28, Midfielder, 1
Players, 42, Trent Alexander-Arnold, England, 1998-10-07, Defender, 4
Players, 43, Jack Grealish, England, 1995-09-10, Midfielder, 5
Players, 44, Riyad Mahrez, Algeria, 1991-02-21, Forward, 1
Players, 45, Thiago Alcantara, Spain, 1991-04-11, Midfielder, 3
Players, 46, Alisson Becker, Brazil, 1992-10-02, Goalkeeper, 4
Players, 47, Son Heung-min, South Korea, 1992-07-08, Forward, 5
Players, 48, Ruben Dias, Portugal, 1997-05-14, Defender, 1
Players, 49, N'Golo Kante, France, 1991-03-29, Midfielder, 3
Players, 50, Bruno Fernandes, Portugal, 1994-09-08, Midfielder, 2
Players, 51, Raphaël Varane, France, 1993-04-25, Defender, 4
Players, 52, Fabinho, Brazil, 1993-10-23, Midfielder, 1
Players, 53, Thiago Silva, Brazil, 1984-09-22, Defender, 3
Players, 54, Ederson, Brazil, 1993-08-17, Goalkeeper, 5
Players, 55, Rodri, Spain, 1996-06-22, Midfielder, 2
Players, 56, Phil Foden, England, 2000-05-28, Midfielder, 1
Players, 57, John Smith, England, 1994-05-12, Midfielder, 1
Players, 58, David Jones, England, 1996-09-21, Defender, 1
Players, 59, Michael Brown, England, 1993-11-05, Forward, 1
Players, 60, Alex Johnson, England, 1998-03-15, Goalkeeper, 1
Players, 61, Sam Wilson, England, 1997-07-22, Midfielder, 1
Players, 62, Ryan Taylor, England, 1995-01-30, Defender, 1
Players, 63, Matthew Clark, England, 1992-04-18, Forward, 1
Players, 64, Luke Thompson, England, 1999-08-09, Goalkeeper, 1
Players, 65, Tom Wright, England, 1991-12-03, Midfielder, 1
Players, 66, Chris Martin, England, 1996-06-28, Defender, 1
Players, 67, Liam Roberts, England, 1993-10-14, Forward, 1
Players, 68, Daniel Harris, England, 1997-02-26, Goalkeeper, 1
Players, 69, Jack Brown, England, 1990-09-17, Midfielder, 1
Players, 70, Adam Green, England, 1995-04-08, Defender, 1
Players, 71, Steve Hall, England, 1998-11-12, Forward, 1
Players, 72, Mark Evans, England, 1994-08-25, Goalkeeper, 1
Players, 73, Joe Robinson, England, 1996-03-07, Midfielder, 1
Players, 74, Andy King, England, 1992-01-19, Defender, 1
Players, 75, Jordan Wright, England, 1999-06-02, Forward, 1
Players, 76, Ben Harris, England, 1993-09-13, Goalkeeper, 1
Players, 77, Jake Smith, England, 1997-04-23, Midfielder, 1
Players, 78, Harry Turner, England, 1995-11-14, Defender, 1
Players, 79, Tom Davies, England, 1998-02-07, Forward, 1
Players, 80, James Roberts, England, 1991-07-30, Goalkeeper, 1
Players, 81, Paul Wilson, England, 1994-12-11, Midfielder, 1
Players, 82, Simon Brown, England, 1996-08-06, Defender, 1
Players, 83, Danny White, England, 1993-03-18, Forward, 1
Players, 84, Charlie Harris, England, 1997-01-02, Goalkeeper, 1
Players, 85, Scott Johnson, England, 1990-10-25, Midfielder, 1
Players, 86, Jamie Martin, England, 1995-05-19, Defender, 1
Players, 87, Liam Jones, England, 1998-12-09, Forward, 1
Players, 88, Tony Evans, England, 1992-07-04, Goalkeeper, 1
Players, 89, Matthew Harris, England, 1996-04-27, Midfielder, 1
Players, 90, Rob Green, England, 1993-08-13, Defender, 1
Stadiums, 1, Etihad Stadium, 1, 55097
Stadiums, 2, Old Trafford, 2, 74691
Stadiums, 3, Stamford Bridge, 3, 40834
Stadiums, 4, Anfield, 4, 53394
Stadiums, 5, Tottenham Hotspur Stadium, 5, 62849
Stadiums, 6, Emirates Stadium, 6, 60272
Stadiums, 7, Goodison Park, 7, 39322
Stadiums, 8, Villa Park, 8, 42785
Stadiums, 9, Elland Road, 9, 37984
Stadiums, 10, King Power Stadium, 10, 32262
Stadiums, 11, St James' Park, 11, 52387
Stadiums, 12, London Stadium, 12, 66000
Stadiums, 13, Molineux Stadium, 13, 32050
Stadiums, 14, Selhurst Park, 14, 25673
Stadiums, 15, St Mary's Stadium, 15, 32384
Stadiums, 16, Amex Stadium, 16, 30750
Stadiums, 17, Turf Moor, 17, 21401
Stadiums, 18, Craven Cottage, 18, 19315
Stadiums, 19, Bramall Lane, 19, 32702
Stadiums, 20, The Hawthorns, 20, 26688
Stadiums, 21, Carrow Road, 21, 27244
Stadiums, 22, Brentford Community Stadium, 22, 17250
Stadiums, 23, Vicarage Road, 23, 22200
Stadiums, 24, Vitality Stadium, 24, 11364
Stadiums, 25, bet365 Stadium, 25, 30250
Stadiums, 26, City Ground, 26, 30482
Stadiums, 27, Pride Park Stadium, 27, 33597
Stadiums, 28, Ewood Park, 28, 31154
Stadiums, 29, Riverside Stadium, 29, 34000
Stadiums, 30, Stadium of Light, 30, 49000
Matches, 1, 2024-03-20, 1, 2, 1, 2, 1
Matches, 2, 2024-03-21, 3, 4, 3, 1, 0
Matches, 3, 2024-03-22, 5, 1, 5, 3, 2
Matches, 4, 2024-03-23, 2, 3, 2, 2, 2
Matches, 5, 2024-03-24, 4, 5, 4, 1, 2
Matches, 6, 2024-03-25, 1, 4, 1, 3, 1
Matches, 7, 2024-03-26, 3, 2, 3, 2, 0
Matches, 8, 2024-03-27, 5, 3, 5, 1, 2
Matches, 9, 2024-03-28, 2, 1, 2, 2, 1
Matches, 10, 2024-03-29, 4, 3, 4, 0, 0
Matches, 11, 2024-03-30, 1, 5, 1, 2, 1
Matches, 12, 2024-03-31, 3, 1, 3, 1, 0
Matches, 13, 2024-04-01, 5, 4, 5, 2, 1
Matches, 14, 2024-04-02, 2, 3, 2, 3, 2
Matches, 15, 2024-04-03, 4, 1, 4, 0, 2
Matches, 16, 2024-04-04, 1, 5, 1, 3, 1
Matches, 17, 2024-04-05, 3, 2, 3, 2, 0
Matches, 18, 2024-04-06, 5, 4, 5, 1, 1
Matches, 19, 2024-04-07, 2, 1, 2, 3, 2
Matches, 20, 2024-04-08, 4, 3, 4, 0, 0
Matches, 21, 2024-04-09, 1, 4, 1, 2, 1
Matches, 22, 2024-04-10, 3, 5, 3, 1, 0
Matches, 23, 2024-04-11, 5, 2, 5, 2, 1
Matches, 24, 2024-04-12, 2, 1, 2, 3, 1
Matches, 25, 2024-04-13, 4, 3, 4, 2, 0
Matches, 26, 2024-04-14, 1, 5, 1, 1, 2
Matches, 27, 2024-04-15, 3, 4, 3, 2, 0
Matches, 28, 2024-04-16, 5, 2, 5, 1, 1
Matches, 29, 2024-04-17, 2, 1, 2, 3, 1
Matches, 30, 2024-04-18, 4, 3, 4, 2, 0
Matches, 31, 2024-04-19, 1, 4, 1, 1, 2
Matches, 32, 2024-04-20, 3, 5, 3, 2, 0
Matches, 33, 2024-04-21, 5, 2, 5, 1, 1
Matches, 34, 2024-04-22, 2, 1, 2, 3, 1
Matches, 35, 2024-04-23, 4, 3, 4, 2, 0
Matches, 36, 2024-04-24, 1, 5, 1, 1, 2
Matches, 37, 2024-04-25, 3, 4, 3, 2, 0
